Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2018	cytokine-mediated signaling pathway (GO:0019221)	28/633	2.0493355137373452e-16	2.3403411566880484e-13	0	0	9.194172275709295	332.128862345693	IFITM1;SP100;IFI6;IFI35;PSMB10;IFIT3;PSMA7;PYCARD;MT2A;SOCS1;CCL4;GBP1;MX1;ISG15;PPBP;PSMB9;SOD1;ISG20;NFKBIA;BST2;PSMC5;OAS1;BCL2;IRF7;PSME2;XAF1;IL7R;PF4
GO_Biological_Process_2018	cellular response to type I interferon (GO:0071357)	12/65	6.304919801665559e-15	2.4000728045006896e-12	0	0	39.71681415929204	1298.6383920392775	BST2;ISG20;IFITM1;SP100;OAS1;MX1;IRF7;IFI6;ISG15;IFI35;XAF1;IFIT3
GO_Biological_Process_2018	type I interferon signaling pathway (GO:0060337)	12/65	6.304919801665559e-15	2.4000728045006896e-12	0	0	39.71681415929204	1298.6383920392775	BST2;ISG20;IFITM1;SP100;OAS1;MX1;IRF7;IFI6;ISG15;IFI35;XAF1;IFIT3
GO_Biological_Process_2018	negative regulation of viral genome replication (GO:0045071)	8/50	7.999272253064745e-10	2.283792228249985e-07	0	0	32.28815628815629	676.3238773383154	BST2;ISG20;IFITM1;PLSCR1;OAS1;IFI16;MX1;ISG15
GO_Biological_Process_2018	apoptotic process (GO:0006915)	13/231	2.2695319131481e-09	5.18361088963026e-07	0	0	10.46612876802097	208.31460586312733	PLK3;GZMA;MX1;PRF1;GZMB;RTN4;GZMH;CD2;PYCARD;NFKBIA;PLSCR1;BCL2;PMAIP1
GO_Biological_Process_2018	negative regulation of viral life cycle (GO:1903901)	8/61	4.143402506663092e-09	7.886276104348753e-07	0	0	25.57264957264957	493.59685117280094	BST2;ISG20;IFITM1;PLSCR1;OAS1;IFI16;MX1;ISG15
GO_Biological_Process_2018	regulation of viral genome replication (GO:0045069)	8/63	5.392747727343714e-09	8.79788272089503e-07	0	0	24.64024864024864	469.10624776470064	BST2;ISG20;IFITM1;PLSCR1;OAS1;IFI16;MX1;ISG15
GO_Biological_Process_2018	response to cytokine (GO:0034097)	9/138	2.1180400975487265e-07	3.023502239250807e-05	0	0	11.876102646351242	182.50724813989908	BST2;IFITM1;SP100;PLSCR1;JUN;MX1;BCL2;ISG15;XAF1
GO_Biological_Process_2018	antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent (GO:0002479)	7/75	4.38865525489299e-07	5.568715890097549e-05	0	0	17.279287138584248	252.95274219602243	PSMC5;NCF1;PSME2;CYBA;PSMB10;PSMA7;PSMB9
GO_Biological_Process_2018	antigen processing and presentation of exogenous peptide antigen via MHC class I (GO:0042590)	7/78	5.751746761306014e-07	6.568494801411468e-05	0	0	16.54666984960611	237.7523489825551	PSMC5;NCF1;PSME2;CYBA;PSMB10;PSMA7;PSMB9
GO_Biological_Process_2018	antigen receptor-mediated signaling pathway (GO:0050851)	11/257	6.494862895408474e-07	6.742848569596797e-05	0	0	7.699293966623877	109.69248873249676	NFKBIA;PSMC5;IGKC;PLCG2;BCL2;PSME2;IGLC2;IGHA1;PSMB10;PSMA7;PSMB9
GO_Biological_Process_2018	negative regulation of binding (GO:0051100)	7/82	8.107776292045534e-07	7.71590043793e-05	0	0	15.66101694915254	219.65002272404536	NFKBIA;SP100;JUN;IFI16;GZMA;TMBIM6;CARD16
GO_Biological_Process_2018	stimulatory C-type lectin receptor signaling pathway (GO:0002223)	8/121	9.264235901875324e-07	8.138274923032016e-05	0	0	11.957945692458969	166.1189955170795	NFKBIA;PSMC5;ICAM2;PLCG2;PSME2;PSMB10;PSMA7;PSMB9
GO_Biological_Process_2018	innate immune response activating cell surface receptor signaling pathway (GO:0002220)	8/124	1.115989417771757e-06	9.103285107823904e-05	0	0	11.646920129678753	159.62999891256902	NFKBIA;PSMC5;ICAM2;PLCG2;PSME2;PSMB10;PSMA7;PSMB9
GO_Biological_Process_2018	cellular response to hypoxia (GO:0071456)	8/132	1.7906028620278825e-06	0.0001282339197677428	0	0	10.891094568513925	144.12139918158636	PLK3;PSMC5;PSME2;PMAIP1;CARD16;PSMB10;PSMA7;PSMB9
GO_Biological_Process_2018	positive regulation of intrinsic apoptotic signaling pathway (GO:2001244)	5/33	1.8150609480749463e-06	0.0001282339197677428	0	0	29.53422619047619	390.42449897465934	BCL2;PMAIP1;S100A9;S100A8;SOD1
GO_Biological_Process_2018	proteolysis involved in cellular protein catabolic process (GO:0051603)	7/93	1.9089112399751554e-06	0.0001282339197677428	0	0	13.650275916436737	179.7601765469668	GZMA;PMAIP1;ISG15;CTSC;PSMB10;PSMA7;PSMB9
GO_Biological_Process_2018	negative regulation of DNA binding (GO:0043392)	5/34	2.1173945763188546e-06	0.00012956512778677787	0	0	28.514367816091955	372.54945983314354	NFKBIA;SP100;JUN;IFI16;GZMA
GO_Biological_Process_2018	Fc-epsilon receptor signaling pathway (GO:0038095)	9/182	2.16879798463813e-06	0.00012956512778677787	0	0	8.835858082519433	115.23140707361898	NFKBIA;PSMC5;JUN;IGKC;PLCG2;PSME2;PSMB10;PSMA7;PSMB9
GO_Biological_Process_2018	Fc receptor signaling pathway (GO:0038093)	9/183	2.269091554934814e-06	0.00012956512778677787	0	0	8.784631391200952	114.166220369905	NFKBIA;PSMC5;JUN;IGKC;PLCG2;PSME2;PSMB10;PSMA7;PSMB9
GO_Biological_Process_2018	cellular response to tumor necrosis factor (GO:0071356)	9/194	3.664774101952757e-06	0.0001992939059252404	0	0	8.257688723205964	103.35937463306487	PYCARD;NFKBIA;PSMC5;ZFP36;CCL4;PSME2;PSMB10;PSMA7;PSMB9
GO_Biological_Process_2018	cellular response to interleukin-1 (GO:0071347)	8/150	4.655545809109853e-06	0.00024166515063652047	0	0	9.501865896232092	116.65869676820104	PYCARD;NFKBIA;PSMC5;CCL4;PSME2;PSMB10;PSMA7;PSMB9
GO_Biological_Process_2018	response to interferon-beta (GO:0035456)	4/19	5.240622533532251e-06	0.00025825980837291754	0	0	43.76859504132232	532.1854224017945	BST2;IFITM1;PLSCR1;XAF1
GO_Biological_Process_2018	negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle (GO:0051436)	6/71	5.4275266207968654e-06	0.00025825980837291754	0	0	15.366515837104073	186.3040533722261	PSMC5;ANAPC16;PSME2;PSMB10;PSMA7;PSMB9
GO_Biological_Process_2018	regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle (GO:0051439)	6/72	5.890869523404927e-06	0.00026909491982913706	0	0	15.13292589763178	182.23231203692063	PSMC5;ANAPC16;PSME2;PSMB10;PSMA7;PSMB9
GO_Biological_Process_2018	positive regulation of defense response (GO:0031349)	6/74	6.913985749766065e-06	0.0003036835279320325	0	0	14.686356895699456	174.50276800185102	NFKBIA;PLSCR1;CCL4;CYBA;S100A9;S100A8
GO_Biological_Process_2018	positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition (GO:0051437)	6/76	8.076719902957715e-06	0.0003225192700133568	0	0	14.26530612244898	167.28246488977854	PSMC5;ANAPC16;PSME2;PSMB10;PSMA7;PSMB9
GO_Biological_Process_2018	leukocyte aggregation (GO:0070486)	3/7	8.190069028360198e-06	0.0003225192700133568	0	0	122.1577868852459	1430.7838570904175	RAC2;S100A9;S100A8
GO_Biological_Process_2018	response to type I interferon (GO:0034340)	3/7	8.190069028360198e-06	0.0003225192700133568	0	0	122.1577868852459	1430.7838570904175	SP100;MX1;ISG15
GO_Biological_Process_2018	negative regulation of ubiquitin protein ligase activity (GO:1904667)	6/77	8.714792183083493e-06	0.00033174308910271166	0	0	14.06367617469523	163.8487007076571	PSMC5;ANAPC16;PSME2;PSMB10;PSMA7;PSMB9
GO_Biological_Process_2018	neutrophil degranulation (GO:0043312)	13/479	9.69280804737636e-06	0.00035707054161625165	0	0	4.834399908031882	55.808923538163896	CD53;CYBA;PPBP;ARPC5;DYNLL1;PYCARD;PLAC8;BST2;OSTF1;S100A9;S100A8;S100A11;CTSC
GO_Biological_Process_2018	anaphase-promoting complex-dependent catabolic process (GO:0031145)	6/79	1.0113537876099208e-05	0.00036092688295329047	0	0	13.676988603660645	157.3077396792009	PSMC5;ANAPC16;PSME2;PSMB10;PSMA7;PSMB9
GO_Biological_Process_2018	neutrophil activation involved in immune response (GO:0002283)	13/483	1.0589426258504716e-05	0.0003664583268852238	0	0	4.792268237082067	54.898569566668925	CD53;CYBA;PPBP;ARPC5;DYNLL1;PYCARD;PLAC8;BST2;OSTF1;S100A9;S100A8;S100A11;CTSC
GO_Biological_Process_2018	regulation of intrinsic apoptotic signaling pathway (GO:2001242)	5/47	1.0938797344918926e-05	0.0003674148990558063	0	0	19.67559523809524	224.7581552219461	PYCARD;BCL2;PMAIP1;S100A9;S100A8
GO_Biological_Process_2018	neutrophil mediated immunity (GO:0002446)	13/487	1.1558403149592714e-05	0.0003771341827667108	0	0	4.750847649186257	54.00810089940624	CD53;CYBA;PPBP;ARPC5;DYNLL1;PYCARD;PLAC8;BST2;OSTF1;S100A9;S100A8;S100A11;CTSC
GO_Biological_Process_2018	tumor necrosis factor-mediated signaling pathway (GO:0033209)	7/123	1.226098112027652e-05	0.0003872759454837895	0	0	10.104690239625947	114.27483724130413	PYCARD;NFKBIA;PSMC5;PSME2;PSMB10;PSMA7;PSMB9
GO_Biological_Process_2018	positive regulation of ubiquitin protein ligase activity (GO:1904668)	6/82	1.2547469337040466e-05	0.0003872759454837895	0	0	13.135117204776648	148.24282190182865	PSMC5;ANAPC16;PSME2;PSMB10;PSMA7;PSMB9
GO_Biological_Process_2018	regulation of mRNA stability (GO:0043488)	7/128	1.5902867966487046e-05	0.0004688062563019538	0	0	9.684689732455526	107.00624425471804	PSMC5;ZFP36;ANP32A;PSME2;PSMB10;PSMA7;PSMB9
GO_Biological_Process_2018	regulation of cellular amine metabolic process (GO:0033238)	5/51	1.6420534371346894e-05	0.0004688062563019538	0	0	17.96105072463768	197.8764990833956	PSMC5;PSME2;PSMB10;PSMA7;PSMB9
GO_Biological_Process_2018	regulation of cellular amino acid metabolic process (GO:0006521)	5/51	1.6420534371346894e-05	0.0004688062563019538	0	0	17.96105072463768	197.8764990833956	PSMC5;PSME2;PSMB10;PSMA7;PSMB9
GO_Biological_Process_2018	positive regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process (GO:2000060)	6/87	1.7640752205847798e-05	0.0004913594882701997	0	0	12.321195144724555	134.8591632482744	PSMC5;ANAPC16;PSME2;PSMB10;PSMA7;PSMB9
GO_Biological_Process_2018	regulation of DNA binding (GO:0051101)	5/52	1.807699558426842e-05	0.0004915221180293936	0	0	17.578014184397162	191.96721462569064	NFKBIA;SP100;JUN;IFI16;GZMA
GO_Biological_Process_2018	interleukin-1-mediated signaling pathway (GO:0070498)	6/95	2.915080835130224e-05	0.0007741912357485386	0	0	11.209139835709564	117.0573602052602	NFKBIA;PSMC5;PSME2;PSMB10;PSMA7;PSMB9
GO_Biological_Process_2018	regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway (GO:1900739)	4/30	3.513427218685132e-05	0.0008916297519418712	0	0	25.237126509853784	258.8403857713828	BCL2;PMAIP1;GZMB;DYNLL1
GO_Biological_Process_2018	positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway (GO:1900740)	4/30	3.513427218685132e-05	0.0008916297519418712	0	0	25.237126509853784	258.8403857713828	BCL2;PMAIP1;GZMB;DYNLL1
GO_Biological_Process_2018	regulation of cellular ketone metabolic process (GO:0010565)	5/61	3.956333726391874e-05	0.0009613049181998978	0	0	14.746279761904765	149.49199919007566	PSMC5;PSME2;PSMB10;PSMA7;PSMB9
GO_Biological_Process_2018	regulation of tumor necrosis factor production (GO:0032680)	5/61	3.956333726391874e-05	0.0009613049181998978	0	0	14.746279761904765	149.49199919007566	PYCARD;CD2;ZFP36;CYBA;PF4
GO_Biological_Process_2018	negative regulation of G2/M transition of mitotic cell cycle (GO:0010972)	5/62	4.281988765904497e-05	0.0010187564938881	0	0	14.486842105263158	145.71601573821238	PSMC5;PSME2;PSMB10;PSMA7;PSMB9
GO_Biological_Process_2018	positive regulation of tumor necrosis factor superfamily cytokine production (GO:1903557)	4/32	4.565888330269505e-05	0.0010641315251362	0	0	23.43211334120425	234.18786031397667	PYCARD;CD2;CYBA;PF4
GO_Biological_Process_2018	positive regulation of intracellular signal transduction (GO:1902533)	12/479	4.728959636891081e-05	0.0010800943810659	0	0	4.413333080669307	43.95335612775311	BST2;NCF1;CCL4;SHISA5;BCL2;PMAIP1;CARD16;IL7R;S100A9;S100A8;RTN4;PF4
GO_Biological_Process_2018	positive regulation of establishment of protein localization to mitochondrion (GO:1903749)	6/110	6.656912966286072e-05	0.0014906263936271	0	0	9.585164835164836	92.18311444205884	UBL5;BCL2;RAC2;PMAIP1;GZMB;DYNLL1
GO_Biological_Process_2018	negative regulation of cell cycle G2/M phase transition (GO:1902750)	5/69	7.181907721168756e-05	0.0015772574264566	0	0	12.897786458333334	123.0624291917431	PSMC5;PSME2;PSMB10;PSMA7;PSMB9
